
Page: 1/63 | Game: 1/63000 | Kept Games: 0\1 | Game Took: 00:00:00 | Page: Took: 00:00:09 | Total Elapsed: 00:00:13
Page: 1/63 | Game: 19/63000 | Kept Games: 0\19 | Game Took: 00:00:00 | Page: Took: 00:00:23 | Total Elapsed: 00:00:27
Page: 1/63 | Game: 20/63000 | Kept Games: 0\20 | Game Took: 00:00:00 | Page: Took: 00:00:24 | Total Elapsed: 00:00:28
Page: 1/63 | Game: 21/63000 | Kept Games: 0\21 | Game Took: 00:00:00 | Page: Took: 00:00:25 | Total Elapsed: 00:00:29
Page: 1/63 | Game: 22/63000 | Kept Games: 0\22 | Game Took: 00:00:00 | Page: Took: 00:00:26 | Total Elapsed: 00:00:29
Page: 1/63 | Game: 23/63000 | Kept Games: 0\23 | Game Took: 00:00:00 | Page: Took: 00:00:26 | Total Elapsed: 00:00:30
Page: 1/63 | Game: 24/63000 | Kept Games: 0\24 | Game Took: 00:00:00 | Page: Took: 00:00:27 | Total Elapsed: 00:00:31
Page: 1/63 | Game: 25/63000 | Kept Games: 0\25 | Game Took: 00:00:00 | Page: Took: 00:00:28 | Total Elapsed: 00:00:31
Page: 1/63 | Game: 26/63000 | Kept Games: 0\26 | Game Took: 00:00:00 | Page: Took: 00:00:28 | Total Elapsed: 00:00:32
Page: 1/63 | Game: 27/63000 | Kept Games: 1\27 | Game Took: 00:00:01 | Page: Took: 00:00:30 | Total Elapsed: 00:00:34
Page: 1/63 | Game: 28/63000 | Kept Games: 1\28 | Game Took: 00:00:00 | Page: Took: 00:00:31 | Total Elapsed: 00:00:35
Page: 1/63 | Game: 29/63000 | Kept Games: 1\29 | Game Took: 00:00:01 | Page: Took: 00:00:32 | Total Elapsed: 00:00:36
Page: 1/63 | Game: 30/63000 | Kept Games: 1\30 | Game Took: 00:00:00 | Page: Took: 00:00:33 | Total Elapsed: 00:00:36
Page: 1/63 | Game: 31/63000 | Kept Games: 1\31 | Game Took: 00:00:00 | Page: Took: 00:00:34 | Total Elapsed: 00:00:37
Page: 1/63 | Game: 32/63000 | Kept Games: 1\32 | Game Took: 00:00:00 | Page: Took: 00:00:34 | Total Elapsed: 00:00:38
Page: 1/63 | Game: 33/63000 | Kept Games: 1\33 | Game Took: 00:00:00 | Page: Took: 00:00:35 | Total Elapsed: 00:00:39
Page: 1/63 | Game: 34/63000 | Kept Games: 1\34 | Game Took: 00:00:00 | Page: Took: 00:00:36 | Total Elapsed: 00:00:39
Page: 1/63 | Game: 35/63000 | Kept Games: 1\35 | Game Took: 00:00:00 | Page: Took: 00:00:37 | Total Elapsed: 00:00:40
Page: 1/63 | Game: 36/63000 | Kept Games: 1\36 | Game Took: 00:00:00 | Page: Took: 00:00:37 | Total Elapsed: 00:00:41
Page: 1/63 | Game: 37/63000 | Kept Games: 1\37 | Game Took: 00:00:00 | Page: Took: 00:00:38 | Total Elapsed: 00:00:42
Page: 1/63 | Game: 38/63000 | Kept Games: 1\38 | Game Took: 00:00:00 | Page: Took: 00:00:39 | Total Elapsed: 00:00:43
Page: 1/63 | Game: 39/63000 | Kept Games: 1\39 | Game Took: 00:00:00 | Page: Took: 00:00:40 | Total Elapsed: 00:00:43
Page: 1/63 | Game: 40/63000 | Kept Games: 1\40 | Game Took: 00:00:00 | Page: Took: 00:00:40 | Total Elapsed: 00:00:44
Page: 1/63 | Game: 41/63000 | Kept Games: 1\41 | Game Took: 00:00:00 | Page: Took: 00:00:41 | Total Elapsed: 00:00:45
Page: 1/63 | Game: 42/63000 | Kept Games: 1\42 | Game Took: 00:00:00 | Page: Took: 00:00:42 | Total Elapsed: 00:00:46
Page: 1/63 | Game: 43/63000 | Kept Games: 1\43 | Game Took: 00:00:00 | Page: Took: 00:00:43 | Total Elapsed: 00:00:47
Page: 1/63 | Game: 44/63000 | Kept Games: 1\44 | Game Took: 00:00:00 | Page: Took: 00:00:44 | Total Elapsed: 00:00:47
Error getting genre information from the game Donkey Kong
Page: 1/63 | Game: 45/63000 | Kept Games: 1\45 | Game Took: 00:00:10 | Page: Took: 00:00:55 | Total Elapsed: 00:00:58
Page: 1/63 | Game: 46/63000 | Kept Games: 1\46 | Game Took: 00:00:00 | Page: Took: 00:00:55 | Total Elapsed: 00:00:59
Page: 1/63 | Game: 47/63000 | Kept Games: 1\47 | Game Took: 00:00:00 | Page: Took: 00:00:56 | Total Elapsed: 00:01:00
Page: 1/63 | Game: 48/63000 | Kept Games: 1\48 | Game Took: 00:00:00 | Page: Took: 00:00:57 | Total Elapsed: 00:01:01
Page: 1/63 | Game: 49/63000 | Kept Games: 1\49 | Game Took: 00:00:00 | Page: Took: 00:00:58 | Total Elapsed: 00:01:01
Page: 1/63 | Game: 50/63000 | Kept Games: 1\50 | Game Took: 00:00:00 | Page: Took: 00:00:58 | Total Elapsed: 00:01:02
Page: 1/63 | Game: 51/63000 | Kept Games: 1\51 | Game Took: 00:00:00 | Page: Took: 00:00:59 | Total Elapsed: 00:01:03
Page: 1/63 | Game: 52/63000 | Kept Games: 1\52 | Game Took: 00:00:01 | Page: Took: 00:01:00 | Total Elapsed: 00:01:04
Page: 1/63 | Game: 53/63000 | Kept Games: 1\53 | Game Took: 00:00:01 | Page: Took: 00:01:02 | Total Elapsed: 00:01:05
Page: 1/63 | Game: 54/63000 | Kept Games: 1\54 | Game Took: 00:00:01 | Page: Took: 00:01:03 | Total Elapsed: 00:01:06
Page: 1/63 | Game: 55/63000 | Kept Games: 2\55 | Game Took: 00:00:01 | Page: Took: 00:01:05 | Total Elapsed: 00:01:08
Page: 1/63 | Game: 56/63000 | Kept Games: 2\56 | Game Took: 00:00:00 | Page: Took: 00:01:05 | Total Elapsed: 00:01:09
Page: 1/63 | Game: 57/63000 | Kept Games: 2\57 | Game Took: 00:00:00 | Page: Took: 00:01:07 | Total Elapsed: 00:01:11
Page: 1/63 | Game: 58/63000 | Kept Games: 2\58 | Game Took: 00:00:01 | Page: Took: 00:01:09 | Total Elapsed: 00:01:12
Page: 1/63 | Game: 59/63000 | Kept Games: 2\59 | Game Took: 00:00:00 | Page: Took: 00:01:10 | Total Elapsed: 00:01:13
Page: 1/63 | Game: 60/63000 | Kept Games: 2\60 | Game Took: 00:00:00 | Page: Took: 00:01:10 | Total Elapsed: 00:01:14
Page: 1/63 | Game: 61/63000 | Kept Games: 2\61 | Game Took: 00:00:01 | Page: Took: 00:01:12 | Total Elapsed: 00:01:15
Page: 1/63 | Game: 62/63000 | Kept Games: 2\62 | Game Took: 00:00:01 | Page: Took: 00:01:13 | Total Elapsed: 00:01:17
Page: 1/63 | Game: 63/63000 | Kept Games: 2\63 | Game Took: 00:00:00 | Page: Took: 00:01:14 | Total Elapsed: 00:01:18
Page: 1/63 | Game: 64/63000 | Kept Games: 2\64 | Game Took: 00:00:00 | Page: Took: 00:01:15 | Total Elapsed: 00:01:18
Page: 1/63 | Game: 65/63000 | Kept Games: 2\65 | Game Took: 00:00:01 | Page: Took: 00:01:16 | Total Elapsed: 00:01:20
Page: 1/63 | Game: 66/63000 | Kept Games: 2\66 | Game Took: 00:00:01 | Page: Took: 00:01:17 | Total Elapsed: 00:01:21
Page: 1/63 | Game: 67/63000 | Kept Games: 2\67 | Game Took: 00:00:01 | Page: Took: 00:01:19 | Total Elapsed: 00:01:22
Page: 1/63 | Game: 68/63000 | Kept Games: 2\68 | Game Took: 00:00:01 | Page: Took: 00:01:20 | Total Elapsed: 00:01:24
Page: 1/63 | Game: 69/63000 | Kept Games: 2\69 | Game Took: 00:00:00 | Page: Took: 00:01:21 | Total Elapsed: 00:01:24
Page: 1/63 | Game: 70/63000 | Kept Games: 3\70 | Game Took: 00:00:01 | Page: Took: 00:01:22 | Total Elapsed: 00:01:26
Page: 1/63 | Game: 71/63000 | Kept Games: 3\71 | Game Took: 00:00:00 | Page: Took: 00:01:23 | Total Elapsed: 00:01:27
Page: 1/63 | Game: 72/63000 | Kept Games: 3\72 | Game Took: 00:00:00 | Page: Took: 00:01:24 | Total Elapsed: 00:01:28
Page: 1/63 | Game: 73/63000 | Kept Games: 3\73 | Game Took: 00:00:00 | Page: Took: 00:01:25 | Total Elapsed: 00:01:28
Page: 1/63 | Game: 74/63000 | Kept Games: 3\74 | Game Took: 00:00:00 | Page: Took: 00:01:26 | Total Elapsed: 00:01:29
Page: 1/63 | Game: 75/63000 | Kept Games: 4\75 | Game Took: 00:00:01 | Page: Took: 00:01:27 | Total Elapsed: 00:01:31
Page: 1/63 | Game: 76/63000 | Kept Games: 5\76 | Game Took: 00:00:01 | Page: Took: 00:01:29 | Total Elapsed: 00:01:33
Page: 1/63 | Game: 77/63000 | Kept Games: 5\77 | Game Took: 00:00:00 | Page: Took: 00:01:30 | Total Elapsed: 00:01:33
Page: 1/63 | Game: 78/63000 | Kept Games: 5\78 | Game Took: 00:00:00 | Page: Took: 00:01:30 | Total Elapsed: 00:01:34
Page: 1/63 | Game: 79/63000 | Kept Games: 5\79 | Game Took: 00:00:00 | Page: Took: 00:01:31 | Total Elapsed: 00:01:35
Page: 1/63 | Game: 80/63000 | Kept Games: 5\80 | Game Took: 00:00:00 | Page: Took: 00:01:32 | Total Elapsed: 00:01:36
Page: 1/63 | Game: 81/63000 | Kept Games: 6\81 | Game Took: 00:00:01 | Page: Took: 00:01:34 | Total Elapsed: 00:01:37
Page: 1/63 | Game: 82/63000 | Kept Games: 6\82 | Game Took: 00:00:01 | Page: Took: 00:01:35 | Total Elapsed: 00:01:39
Page: 1/63 | Game: 83/63000 | Kept Games: 7\83 | Game Took: 00:00:02 | Page: Took: 00:01:37 | Total Elapsed: 00:01:41
Page: 1/63 | Game: 84/63000 | Kept Games: 7\84 | Game Took: 00:00:00 | Page: Took: 00:01:38 | Total Elapsed: 00:01:42
Page: 1/63 | Game: 85/63000 | Kept Games: 7\85 | Game Took: 00:00:00 | Page: Took: 00:01:39 | Total Elapsed: 00:01:42
Page: 1/63 | Game: 86/63000 | Kept Games: 7\86 | Game Took: 00:00:00 | Page: Took: 00:01:40 | Total Elapsed: 00:01:43
Page: 1/63 | Game: 87/63000 | Kept Games: 7\87 | Game Took: 00:00:00 | Page: Took: 00:01:40 | Total Elapsed: 00:01:44
Page: 1/63 | Game: 88/63000 | Kept Games: 7\88 | Game Took: 00:00:00 | Page: Took: 00:01:41 | Total Elapsed: 00:01:45
Page: 1/63 | Game: 89/63000 | Kept Games: 7\89 | Game Took: 00:00:00 | Page: Took: 00:01:42 | Total Elapsed: 00:01:46
Page: 1/63 | Game: 90/63000 | Kept Games: 7\90 | Game Took: 00:00:00 | Page: Took: 00:01:43 | Total Elapsed: 00:01:47
Page: 1/63 | Game: 91/63000 | Kept Games: 7\91 | Game Took: 00:00:00 | Page: Took: 00:01:44 | Total Elapsed: 00:01:48
Page: 1/63 | Game: 92/63000 | Kept Games: 8\92 | Game Took: 00:00:02 | Page: Took: 00:01:46 | Total Elapsed: 00:01:50
Page: 1/63 | Game: 93/63000 | Kept Games: 9\93 | Game Took: 00:00:01 | Page: Took: 00:01:48 | Total Elapsed: 00:01:52
Page: 1/63 | Game: 94/63000 | Kept Games: 9\94 | Game Took: 00:00:00 | Page: Took: 00:01:49 | Total Elapsed: 00:01:53
Page: 1/63 | Game: 95/63000 | Kept Games: 9\95 | Game Took: 00:00:01 | Page: Took: 00:01:51 | Total Elapsed: 00:01:54
Page: 1/63 | Game: 96/63000 | Kept Games: 9\96 | Game Took: 00:00:01 | Page: Took: 00:01:52 | Total Elapsed: 00:01:56
Page: 1/63 | Game: 97/63000 | Kept Games: 10\97 | Game Took: 00:00:01 | Page: Took: 00:01:54 | Total Elapsed: 00:01:58
Page: 1/63 | Game: 98/63000 | Kept Games: 10\98 | Game Took: 00:00:00 | Page: Took: 00:01:55 | Total Elapsed: 00:01:58
Page: 1/63 | Game: 99/63000 | Kept Games: 10\99 | Game Took: 00:00:00 | Page: Took: 00:01:56 | Total Elapsed: 00:01:59
Page: 1/63 | Game: 100/63000 | Kept Games: 10\100 | Game Took: 00:00:00 | Page: Took: 00:01:56 | Total Elapsed: 00:02:00
Page: 1/63 | Game: 101/63000 | Kept Games: 10\101 | Game Took: 00:00:01 | Page: Took: 00:01:58 | Total Elapsed: 00:02:02
Page: 1/63 | Game: 102/63000 | Kept Games: 10\102 | Game Took: 00:00:00 | Page: Took: 00:01:59 | Total Elapsed: 00:02:03
Page: 1/63 | Game: 103/63000 | Kept Games: 11\103 | Game Took: 00:00:00 | Page: Took: 00:02:00 | Total Elapsed: 00:02:04
Page: 1/63 | Game: 104/63000 | Kept Games: 11\104 | Game Took: 00:00:00 | Page: Took: 00:02:01 | Total Elapsed: 00:02:04
Page: 1/63 | Game: 105/63000 | Kept Games: 12\105 | Game Took: 00:00:01 | Page: Took: 00:02:02 | Total Elapsed: 00:02:06
Page: 1/63 | Game: 106/63000 | Kept Games: 13\106 | Game Took: 00:00:01 | Page: Took: 00:02:04 | Total Elapsed: 00:02:08
Page: 1/63 | Game: 107/63000 | Kept Games: 14\107 | Game Took: 00:00:01 | Page: Took: 00:02:06 | Total Elapsed: 00:02:09
Page: 1/63 | Game: 108/63000 | Kept Games: 14\108 | Game Took: 00:00:01 | Page: Took: 00:02:07 | Total Elapsed: 00:02:10
Page: 1/63 | Game: 109/63000 | Kept Games: 14\109 | Game Took: 00:00:01 | Page: Took: 00:02:08 | Total Elapsed: 00:02:12
Page: 1/63 | Game: 110/63000 | Kept Games: 14\110 | Game Took: 00:00:01 | Page: Took: 00:02:09 | Total Elapsed: 00:02:13
Page: 1/63 | Game: 111/63000 | Kept Games: 14\111 | Game Took: 00:00:00 | Page: Took: 00:02:10 | Total Elapsed: 00:02:14
Page: 1/63 | Game: 112/63000 | Kept Games: 14\112 | Game Took: 00:00:01 | Page: Took: 00:02:11 | Total Elapsed: 00:02:15
Page: 1/63 | Game: 113/63000 | Kept Games: 14\113 | Game Took: 00:00:00 | Page: Took: 00:02:12 | Total Elapsed: 00:02:16
Page: 1/63 | Game: 114/63000 | Kept Games: 14\114 | Game Took: 00:00:01 | Page: Took: 00:02:14 | Total Elapsed: 00:02:18
Page: 1/63 | Game: 115/63000 | Kept Games: 14\115 | Game Took: 00:00:01 | Page: Took: 00:02:15 | Total Elapsed: 00:02:19
Page: 1/63 | Game: 116/63000 | Kept Games: 14\116 | Game Took: 00:00:00 | Page: Took: 00:02:16 | Total Elapsed: 00:02:19
Page: 1/63 | Game: 117/63000 | Kept Games: 14\117 | Game Took: 00:00:00 | Page: Took: 00:02:17 | Total Elapsed: 00:02:20
Page: 1/63 | Game: 118/63000 | Kept Games: 15\118 | Game Took: 00:00:01 | Page: Took: 00:02:18 | Total Elapsed: 00:02:22
Page: 1/63 | Game: 119/63000 | Kept Games: 15\119 | Game Took: 00:00:00 | Page: Took: 00:02:19 | Total Elapsed: 00:02:23
Page: 1/63 | Game: 120/63000 | Kept Games: 15\120 | Game Took: 00:00:00 | Page: Took: 00:02:20 | Total Elapsed: 00:02:24
Page: 1/63 | Game: 121/63000 | Kept Games: 16\121 | Game Took: 00:00:01 | Page: Took: 00:02:22 | Total Elapsed: 00:02:25
Page: 1/63 | Game: 122/63000 | Kept Games: 16\122 | Game Took: 00:00:00 | Page: Took: 00:02:22 | Total Elapsed: 00:02:26
Page: 1/63 | Game: 123/63000 | Kept Games: 17\123 | Game Took: 00:00:01 | Page: Took: 00:02:24 | Total Elapsed: 00:02:28
Page: 1/63 | Game: 124/63000 | Kept Games: 17\124 | Game Took: 00:00:00 | Page: Took: 00:02:25 | Total Elapsed: 00:02:29
Page: 1/63 | Game: 125/63000 | Kept Games: 17\125 | Game Took: 00:00:00 | Page: Took: 00:02:26 | Total Elapsed: 00:02:29
Page: 1/63 | Game: 126/63000 | Kept Games: 17\126 | Game Took: 00:00:01 | Page: Took: 00:02:27 | Total Elapsed: 00:02:30
Page: 1/63 | Game: 127/63000 | Kept Games: 17\127 | Game Took: 00:00:00 | Page: Took: 00:02:27 | Total Elapsed: 00:02:31
Page: 1/63 | Game: 128/63000 | Kept Games: 17\128 | Game Took: 00:00:00 | Page: Took: 00:02:28 | Total Elapsed: 00:02:32
Page: 1/63 | Game: 129/63000 | Kept Games: 17\129 | Game Took: 00:00:00 | Page: Took: 00:02:29 | Total Elapsed: 00:02:33
Page: 1/63 | Game: 130/63000 | Kept Games: 17\130 | Game Took: 00:00:00 | Page: Took: 00:02:30 | Total Elapsed: 00:02:34
Page: 1/63 | Game: 131/63000 | Kept Games: 17\131 | Game Took: 00:00:00 | Page: Took: 00:02:31 | Total Elapsed: 00:02:34
Page: 1/63 | Game: 132/63000 | Kept Games: 17\132 | Game Took: 00:00:00 | Page: Took: 00:02:31 | Total Elapsed: 00:02:35
Page: 1/63 | Game: 133/63000 | Kept Games: 18\133 | Game Took: 00:00:01 | Page: Took: 00:02:33 | Total Elapsed: 00:02:37
Page: 1/63 | Game: 134/63000 | Kept Games: 19\134 | Game Took: 00:00:01 | Page: Took: 00:02:35 | Total Elapsed: 00:02:38
Page: 1/63 | Game: 135/63000 | Kept Games: 19\135 | Game Took: 00:00:00 | Page: Took: 00:02:35 | Total Elapsed: 00:02:39
Page: 1/63 | Game: 136/63000 | Kept Games: 19\136 | Game Took: 00:00:00 | Page: Took: 00:02:36 | Total Elapsed: 00:02:40
Page: 1/63 | Game: 137/63000 | Kept Games: 19\137 | Game Took: 00:00:00 | Page: Took: 00:02:37 | Total Elapsed: 00:02:41
Page: 1/63 | Game: 138/63000 | Kept Games: 19\138 | Game Took: 00:00:00 | Page: Took: 00:02:38 | Total Elapsed: 00:02:41
Page: 1/63 | Game: 139/63000 | Kept Games: 19\139 | Game Took: 00:00:00 | Page: Took: 00:02:38 | Total Elapsed: 00:02:42
Page: 1/63 | Game: 140/63000 | Kept Games: 19\140 | Game Took: 00:00:00 | Page: Took: 00:02:39 | Total Elapsed: 00:02:43
Page: 1/63 | Game: 141/63000 | Kept Games: 20\141 | Game Took: 00:00:01 | Page: Took: 00:02:41 | Total Elapsed: 00:02:44
Page: 1/63 | Game: 142/63000 | Kept Games: 20\142 | Game Took: 00:00:00 | Page: Took: 00:02:41 | Total Elapsed: 00:02:45
Page: 1/63 | Game: 143/63000 | Kept Games: 21\143 | Game Took: 00:00:00 | Page: Took: 00:02:42 | Total Elapsed: 00:02:46
Page: 1/63 | Game: 144/63000 | Kept Games: 22\144 | Game Took: 00:00:00 | Page: Took: 00:02:43 | Total Elapsed: 00:02:47
Page: 1/63 | Game: 145/63000 | Kept Games: 23\145 | Game Took: 00:00:01 | Page: Took: 00:02:45 | Total Elapsed: 00:02:48
Page: 1/63 | Game: 146/63000 | Kept Games: 23\146 | Game Took: 00:00:00 | Page: Took: 00:02:45 | Total Elapsed: 00:02:49
Page: 1/63 | Game: 147/63000 | Kept Games: 24\147 | Game Took: 00:00:01 | Page: Took: 00:02:47 | Total Elapsed: 00:02:51
Page: 1/63 | Game: 148/63000 | Kept Games: 24\148 | Game Took: 00:00:00 | Page: Took: 00:02:48 | Total Elapsed: 00:02:51
Page: 1/63 | Game: 149/63000 | Kept Games: 25\149 | Game Took: 00:00:01 | Page: Took: 00:02:49 | Total Elapsed: 00:02:53
Page: 1/63 | Game: 150/63000 | Kept Games: 25\150 | Game Took: 00:00:01 | Page: Took: 00:02:50 | Total Elapsed: 00:02:54
Page: 1/63 | Game: 151/63000 | Kept Games: 25\151 | Game Took: 00:00:00 | Page: Took: 00:02:51 | Total Elapsed: 00:02:55
Page: 1/63 | Game: 152/63000 | Kept Games: 25\152 | Game Took: 00:00:00 | Page: Took: 00:02:52 | Total Elapsed: 00:02:56
Page: 1/63 | Game: 153/63000 | Kept Games: 25\153 | Game Took: 00:00:00 | Page: Took: 00:02:53 | Total Elapsed: 00:02:56
Page: 1/63 | Game: 154/63000 | Kept Games: 25\154 | Game Took: 00:00:00 | Page: Took: 00:02:54 | Total Elapsed: 00:02:57
Page: 1/63 | Game: 155/63000 | Kept Games: 25\155 | Game Took: 00:00:00 | Page: Took: 00:02:54 | Total Elapsed: 00:02:58
Page: 1/63 | Game: 156/63000 | Kept Games: 25\156 | Game Took: 00:00:00 | Page: Took: 00:02:55 | Total Elapsed: 00:02:59
Page: 1/63 | Game: 157/63000 | Kept Games: 25\157 | Game Took: 00:00:01 | Page: Took: 00:02:56 | Total Elapsed: 00:03:00
Page: 1/63 | Game: 158/63000 | Kept Games: 26\158 | Game Took: 00:00:01 | Page: Took: 00:02:58 | Total Elapsed: 00:03:02
Page: 1/63 | Game: 159/63000 | Kept Games: 26\159 | Game Took: 00:00:00 | Page: Took: 00:02:59 | Total Elapsed: 00:03:03
Page: 1/63 | Game: 160/63000 | Kept Games: 26\160 | Game Took: 00:00:01 | Page: Took: 00:03:01 | Total Elapsed: 00:03:05
Page: 1/63 | Game: 161/63000 | Kept Games: 26\161 | Game Took: 00:00:01 | Page: Took: 00:03:03 | Total Elapsed: 00:03:07
Page: 1/63 | Game: 162/63000 | Kept Games: 27\162 | Game Took: 00:00:02 | Page: Took: 00:03:05 | Total Elapsed: 00:03:09
Page: 1/63 | Game: 163/63000 | Kept Games: 28\163 | Game Took: 00:00:02 | Page: Took: 00:03:07 | Total Elapsed: 00:03:11
Page: 1/63 | Game: 164/63000 | Kept Games: 29\164 | Game Took: 00:00:01 | Page: Took: 00:03:09 | Total Elapsed: 00:03:12
Page: 1/63 | Game: 165/63000 | Kept Games: 29\165 | Game Took: 00:00:00 | Page: Took: 00:03:10 | Total Elapsed: 00:03:13
Page: 1/63 | Game: 166/63000 | Kept Games: 29\166 | Game Took: 00:00:00 | Page: Took: 00:03:10 | Total Elapsed: 00:03:14
Page: 1/63 | Game: 167/63000 | Kept Games: 29\167 | Game Took: 00:00:00 | Page: Took: 00:03:11 | Total Elapsed: 00:03:15
Page: 1/63 | Game: 168/63000 | Kept Games: 29\168 | Game Took: 00:00:00 | Page: Took: 00:03:12 | Total Elapsed: 00:03:16
Page: 1/63 | Game: 169/63000 | Kept Games: 29\169 | Game Took: 00:00:00 | Page: Took: 00:03:13 | Total Elapsed: 00:03:16
Page: 1/63 | Game: 170/63000 | Kept Games: 29\170 | Game Took: 00:00:00 | Page: Took: 00:03:13 | Total Elapsed: 00:03:17
Page: 1/63 | Game: 171/63000 | Kept Games: 29\171 | Game Took: 00:00:00 | Page: Took: 00:03:14 | Total Elapsed: 00:03:18
Page: 1/63 | Game: 172/63000 | Kept Games: 29\172 | Game Took: 00:00:00 | Page: Took: 00:03:15 | Total Elapsed: 00:03:19
Page: 1/63 | Game: 173/63000 | Kept Games: 29\173 | Game Took: 00:00:00 | Page: Took: 00:03:16 | Total Elapsed: 00:03:20
Page: 1/63 | Game: 174/63000 | Kept Games: 29\174 | Game Took: 00:00:00 | Page: Took: 00:03:17 | Total Elapsed: 00:03:21
Page: 1/63 | Game: 175/63000 | Kept Games: 29\175 | Game Took: 00:00:00 | Page: Took: 00:03:18 | Total Elapsed: 00:03:21
Page: 1/63 | Game: 176/63000 | Kept Games: 29\176 | Game Took: 00:00:01 | Page: Took: 00:03:20 | Total Elapsed: 00:03:23
Page: 1/63 | Game: 177/63000 | Kept Games: 30\177 | Game Took: 00:00:01 | Page: Took: 00:03:21 | Total Elapsed: 00:03:25
Page: 1/63 | Game: 178/63000 | Kept Games: 30\178 | Game Took: 00:00:01 | Page: Took: 00:03:23 | Total Elapsed: 00:03:27
Page: 1/63 | Game: 179/63000 | Kept Games: 30\179 | Game Took: 00:00:00 | Page: Took: 00:03:24 | Total Elapsed: 00:03:28
Page: 1/63 | Game: 180/63000 | Kept Games: 30\180 | Game Took: 00:00:00 | Page: Took: 00:03:25 | Total Elapsed: 00:03:28
Page: 1/63 | Game: 181/63000 | Kept Games: 30\181 | Game Took: 00:00:00 | Page: Took: 00:03:26 | Total Elapsed: 00:03:29
Page: 1/63 | Game: 182/63000 | Kept Games: 30\182 | Game Took: 00:00:00 | Page: Took: 00:03:26 | Total Elapsed: 00:03:30
Page: 1/63 | Game: 183/63000 | Kept Games: 30\183 | Game Took: 00:00:01 | Page: Took: 00:03:27 | Total Elapsed: 00:03:31
Page: 1/63 | Game: 184/63000 | Kept Games: 30\184 | Game Took: 00:00:01 | Page: Took: 00:03:29 | Total Elapsed: 00:03:33
Page: 1/63 | Game: 185/63000 | Kept Games: 30\185 | Game Took: 00:00:02 | Page: Took: 00:03:31 | Total Elapsed: 00:03:35
Page: 1/63 | Game: 186/63000 | Kept Games: 30\186 | Game Took: 00:00:00 | Page: Took: 00:03:32 | Total Elapsed: 00:03:36
Page: 1/63 | Game: 187/63000 | Kept Games: 30\187 | Game Took: 00:00:01 | Page: Took: 00:03:33 | Total Elapsed: 00:03:37
Page: 1/63 | Game: 188/63000 | Kept Games: 30\188 | Game Took: 00:00:00 | Page: Took: 00:03:34 | Total Elapsed: 00:03:38
Page: 1/63 | Game: 189/63000 | Kept Games: 30\189 | Game Took: 00:00:00 | Page: Took: 00:03:35 | Total Elapsed: 00:03:39
Page: 1/63 | Game: 190/63000 | Kept Games: 31\190 | Game Took: 00:00:01 | Page: Took: 00:03:37 | Total Elapsed: 00:03:40
